japanese,kana,english
彼女は彼に噛みついた。,かのじょ は かれ に かみついた。,She bit him.
トムはため息をついた。,トム は ためいき を ついた。,Tom sighed.
トムは三分早くついた。,トム は さんふん はやく ついた。,Tom arrived three minutes early.
トムは私に嘘をついた。,トム は わたし に うそ を ついた。,Tom lied to me.
トムは真夜中についた。,トム は まよなか に ついた。,Tom arrived at midnight.
私は彼にすぐ追いついた。,わたし は かれ に すぐ おいついた。,I caught up with him soon.
彼は深いため息をついた。,かれ は ふかい ため いき を ついた。,He gave a deep sigh.
私は昨日、ここへついた。,わたし は きのう、ここ へ ついた。,I arrived here yesterday.
若い女はため息をついた。,わかい おんな は ためいき を ついた。,The young girl sighed.
彼女はゆっくりとドアの取っ手をまわしました。,かのじょ は ゆっくり と ドア の とって を まわしました。,She turned the doorknob slowly.
楽になさってください。,らく に なさってください。,Make yourselves comfortable.
どうぞ楽になさって下さい。,どうぞ らく に なさってください。,Please make yourself at home.
どうかお大事になさってください。,どうか お だいじ に なさってください。,I hope that you will get well soon.
どうぞごゆっくりなさって下さい。,どうぞ ご ゆっくり なさってください。,Please make yourself at home.
お仕事は何をなさってるんですか？,お しごと は なに を なさってる ん です か？,What's your job?
お父様は何をなさっているんですか？,お とうさま は なに を なさっている ん です か？,What does your father do?
あの男の人は仕事は何をなさってるんですか？,あの おとこ の ひと は しごと は なに を なさってる ん です か？,What's his job?
ご結婚なさっているのですか、それとも独身ですか。,ご けっこん なさっている の です か、それとも どくしん です か。,Are you married or are you single?
彼は窓を閉めておいた。,かれ は まど を しめておいた。,He kept the window closed.
そう言っておいたはずだ。,そう いっておいた はず だ。,I said so.
ドアを開けたままにしておいた。,ドア を あけた まま に しておいた。,We left the door open.
トムのために席をとっておいた。,トム の ため に せき を とっておいた。,I saved a seat for Tom.
何でも習っておいた方が得ですよ。,なに でも ならっておいた ほう が とく です よ。,It's to your advantage to learn everything you can.
私たちは彼らを静かにさせておいた。,わたしたち は かれら を しずか に させておいた。,We kept them quiet.
彼女はそれを後生大事にとっておいた。,かのじょ は それ を ごしょうだいじ に とっておいた。,She held on to it for dear life.
誰がドアを開いたままにしておいたんだ？,だれ が ドア を ひらいた まま に しておいた ん だ？,Who left the door open?
だれが窓を開けっ放しにしておいたんだ？,だれ が まど を あけっぱなし に しておいた ん だ？,Who left the window open?
私は三週間前にホテルを予約しておいた。,わたし は さんしゅうかん まえ に ホテル を よやく しておいた。,I reserved my hotel room three weeks in advance.
彼らは王が死んだのを秘密にしておいた。,かれら は おう が しんだ の を ひみつ に しておいた。,They kept it to themselves that the king was dead.
冷蔵庫に入れておいた私のケーキ食べたの誰？,れいぞうこ に いれておいた わたし の ケーキ たべた の だれ？,Who ate my cake that I'd put in the fridge?
忘れないうちに書き留めておいた方がいいですよ。,わすれない うち に かきとめておいた ほう が いい です よ。,You should write it down before you forget it.
誰かが水を出しっぱなしにしておいたにちがいない。,だれ かが みず を だしっぱなし に しておいた に ちがい ない。,Someone must have left the water running.
前もって言ってくれれば、その日、空けておいたのに。,まえもって いってくれれば、その ひ、あけておいた のに。,I would have set aside the day for it if you'd told me ahead of time.
トムがどこにカギをおいたか、私には分かる気がする。,トム が どこ に カギ を おいた か、わたし には わかる き が する。,I think I know where Tom put his keys.
聞こえないよ。,きこえない よ。,I can't hear it.
あまり見えない。,あまり みえない。,I see it rarely.
何とも言えない。,なんとも いえない。,I can't say.
幸福は買えない。,こうふく は かえない。,You cannot buy happiness.
誰でも答えない。,だれ でも こたえない。,Nobody answered.
彼は年に見えない。,かれ は とし に みえない。,He doesn't look his age.
私は何も見えない。,わたし は なに も みえない。,I don't see anything.
それはありえない。,それ は ありえない。,That could never happen.
これは使えないよ。,これ は つかえない よ。,You can't use this.
彼は片目が見えない。,かれ は かため が みえない。,He is blind in one eye.
そんなのありえないよ。,そんな の ありえない よ。,It can't be!
私は右の目が見えない。,わたし は みぎ の め が みえない。,I am blind in the right eye.
それは見るに耐えない。,それ は みる に たえない。,I couldn't stand looking at it.
トムは片目が見えない。,トム は かため が みえない。,Tom is blind in one eye.
金で買えない物はない。,きん で かえない もの は ない。,There is nothing that can't be bought with money.
そろそろ話題変えない？,そろそろ わだい かえない？,I think it's about time we change the subject.
自然の摂理には抗えない。,しぜん の せつり には あらがえない。,You can't go against the laws of nature.
トムは片耳が聞こえない。,トム は かたみみ が きこえない。,Tom is deaf in one ear.
それは真実ではありえない。,それ は しんじつ では ありえない。,It cannot be true.
いいえ、教えないでしょう。,いいえ、おしえないでしょう。,"No, he will not."
夕食はいりません。,ゆうしょく はいりません。,I don't want dinner.
誕生パーティーはいりません。,たんじょう パーティー はいりません。,I don't want a birthday party.
その冗談がわからなかった。,その じょうだん が わからなかった。,I didn't get the joke.
何と言っていいかわからなかった。,なに と いって いい か わからなかった。,I didn't know what to say.
彼女は、ひとこともわからなかった。,かのじょ は、ひとこと も わからなかった。,She failed to understand a single word.
私は彼の言ったことがわからなかった。,わたし は かれ の いった こと が わからなかった。,I didn't catch what he said.
彼が言ったことはよくわからなかった。,かれ が いった こと は よく わからなかった。,I didn't quite make out what he said.
彼は何と言ってよいかわからなかった。,かれ は なに と いって よい か わからなかった。,He did not know what to say.
もしわからなかったら質問して下さい。,もし わからなかったら しつもん してください。,"If you don't understand, ask a question."
私は何と言ったらいいかわからなかった。,わたし は なに と いったら いい か わからなかった。,I was at a loss for words.
彼はなんと言ってよいかわからなかった。,かれ は なんと いって よい か わからなかった。,He did not know what to say.
彼女には私の言った事がわからなかった。,かのじょ には わたし の いった こと が わからなかった。,She had no idea what I said.
これは意味があることをわからなかった。,これ は いみ が ある こと を わからなかった。,I didn't understand the point of this.
私は彼に何と言ったら良いかわからなかった。,わたし は かれ に なに と いったら よい か わからなかった。,I didn't know what to say to him.
私は彼の言うことがほとんどわからなかった。,わたし は かれ の いう こと が ほとんど わからなかった。,I could hardly understand him.
どこでバスに乗ったら良いのかわからなかった。,どこ で バス に のったら よい の か わからなかった。,I didn't know where to get the bus.
今のアナウンスがよくわからなかったのですが。,いま の アナウンス が よく わからなかった の です が。,I couldn't understand the announcement that was just made.
彼女がどんなに喜んでいるのかわからなかった。,かのじょ が どんなに よろこんでいる の か わからなかった。,I did not notice how glad she was.
皆仮装していたのでだれがだれだかわからなかった。,かい かそう していた ので だれ が だれだ か わからなかった。,"Everybody was disguised, so I couldn't tell who was who."
なんと言っていいかわからなかったので黙っていた。,なんと いって いい か わからなかった ので だまっていた。,"Not knowing what to say, I remained silent."
私は彼の質問にどう答えたらよいかわからなかった。,わたし は かれ の しつもん に どう こたえたら よい か わからなかった。,I didn't know how to answer his question.
彼はなぜ妻が彼のもとを去ったのかわからなかった。,かれ は なぜ つま が かれ の もと を さった の か わからなかった。,He had no idea why his wife left him.
梅雨は６月からはじまる。,つゆ は ろくがつ から はじまる。,Rainy season begins in June.
慈愛は我が家からはじまる。,じあい は わがや から はじまる。,Charity begins at home.
彼らは数日前に旅行にでかけた。,かれら は すうにち まえ に りょこう に でかけた。,They went on a trip a few days ago.
わたしは朝食後少し仕事をしてからでかけた。,わたし は ちょうしょくご すこし しごと を してから でかけた。,I did some work after breakfast and went out.
そんなのってありえる？,そんな の って ありえる？,Is it possible?
食卓にたくさんの皿がのっている。,しょくたく に たくさん の さら が のっている。,There are a lot of dishes on the table.
単語帳作るのって意味あると思う？,たんごちょう つくる の って いみ ある と おもう？,Do you figure there's any reason to make a vocabulary book?
家の中で靴脱ぐのって日本だけかと思ってた。,いえ の なか で くつ ぬぐ の って にっぽん だけかと おもってた。,I always thought Japan was the only country where people remove their shoes inside the house.
トムがフランス語を話すのって、聞いたことある？,トム が フランス語 を はなす の って、きいた こと ある？,Have you ever heard Tom speak French?
テストの最中にお腹が鳴るのって、恥ずかしいよな。,テスト の さいちゅう に おなか が なる の って、はずかしい よな。,"If your stomach growls in the middle of a test, that's pretty embarrassing."
君のピザの上には何種類のチーズがのっていますか？,きみ の ピザ の うえ には なに しゅるい の チーズ が のっています か？,How many kinds of cheese do you use on your pizzas?
ケーキを均等に切り分けるのって、結構難しいんだぞ。,ケーキ を きんとう に きりわける の って、けっこう むずかしい ん だ ぞ。,Cutting a cake into equal pieces is rather difficult.
今日は朝から気分がすぐれない。,きょう は あさ から きぶん が すぐれない。,I haven't been feeling great since this morning.
彼はすぐに腹をたてる。,かれ は すぐ に はら を たてる。,He is quick to take offense.
初めまして。,はじめ まして。,Nice to meet you.
どういたしまして。,どういたしまして。,You're welcome.
明けましておめでとう。,あけまし て おめでとう。,Happy New Year!
励ましてくれてありがとう。,はげましてくれて ありがとう。,I appreciate you trying to cheer me up.
すみません、遅くなりまして。,すみません、おそく なりまし て。,I'm sorry. I came late.
いい加減に目を覚ましてくれ。,いいかげん に め を さましてくれ。,That's enough! Open your eyes and wake up now!
キリルと申します、初めまして！,キリル と もうします、はじめ まして！,My name's Cyril; pleased to meet you!
教授は私の研究を励ましてくれた。,きょうじゅ は わたし の けんきゅう を はげましてくれた。,The professor encouraged me in my studies.
あけましておめでとうございます。,あけまし て おめでとう ございます。,Happy New Year!
「ありがとう」「どういたしまして」,「ありがとう」「どういたしまして」,"Thank you. ""You're welcome."""
遅れまして、誠に申し訳ありません。,おくれまし て、まことに もうしわけ ありません。,I'm awfully sorry that I was late.
彼女は野暮用を済まして帰ってきた。,かのじょ は やぼよう を すまして かえってきた。,She finished her errand and returned home.
「ありがとう。」「どういたしまして。」,「ありがとう。」「どういたしまして。」,"Thank you. ""You're welcome."""
お返事が遅れまして、申し訳ありません。,お へんじ が おくれまし て、もうしわけ ありません。,I'm sorry for the delay in my reply.
警備員に成りすまして彼は銀行に入った。,けいびいん に なりすまして かれ は ぎんこう に はいった。,He went into the bank in the disguise of a guard.
「ありがとうご座います」「どう致しまして」,「ありがとう ご ざ います」「どう いたしまし て」,"Thank you. ""You're welcome."""
目を覚ましてみると夢だったことがわかった。,め を さましてみると ゆめ だった こと が わかった。,I awoke to find everything had been a dream.
はじめましてどうぞよろしくお願い致します。,はじめまして どうぞ よろしく おねがいいたします。,Pleased to meet you.
「ありがとうございます」「どういたしまして」,「ありがとう ございます」「どういたしまして」,"Thank you. ""You're welcome."""
フランス語は読めません。ましてや話すなんて。,フランス語 は よめません。ましてや はなす なんて。,"I can't read French, let alone speak it."
今はできません。,いま は できません。,I can't do that now.
私にはできません。,わたし には できません。,I can't do it.
これはできません。,これ は できません。,I can't do this.
今日はできません。,きょう は できません。,I can't do it today.
私も説明できません。,わたし も せつめい できません。,I can't explain it either.
鼻で息ができません。,はな で いき が できません。,I can't breathe through my nose.
これ以上できません。,これ いじょう できません。,I can't do any more.
彼には賛成できません。,かれ には さんせい できません。,I don't agree with him.
痛みが我慢できません。,いたみ が がまん できません。,I can't bear the pain.
母はお伺いできません。,はは は お うかがいできません。,My mother can't come.
今すぐにはできません。,いま すぐ には できません。,I can't do it right now.
母は英語があまりできません。,はは は えいご が あまり できません。,My mom doesn't speak English very well.
フランス語は全くできません。,フランス語 は まったく できません。,I can't speak French at all.
もうこれ以上我慢できません。,もう これ いじょう がまん できません。,I can't put up with this any longer.
申し訳ないけど、できません。,もうしわけ ない けど、できません。,"I'm sorry, but it's impossible."
それは私一人ではできません。,それ は わたし いちにん で は できません。,I can't do it alone.
断ることができませんでした。,ことわる こと が できませんでした。,I couldn't say no.
時間を止めることができません。,じかん を とめる こと が できません。,Time cannot be stopped.
私は火をさわることはできません,わたし は ひ を さわる こと は できません,I cannot touch fire.
トムの意見には賛成できません。,トム の いけん には さんせい できません。,I can't agree with Tom.
トムは結婚したがっている。,トム は けっこん したがっている。,Tom wants to get married.
トムはあなたと話したがっている。,トム は あなた と はなした がっている。,Tom wants to talk to you.
彼は私の娘と結婚したがっている。,かれ は わたし の むすめ と けっこん したがっている。,He wants to marry my daughter.
彼らは労働条件を改善したがっている。,かれら は ろうどう じょうけん を かいぜん したがっている。,They want to better their working conditions.
トムはメアリーと結婚したがっている。,トム は メアリー と けっこん したがっている。,Tom wants to marry Mary.
トムと話したがっている人は大勢いる。,トム と はなした がっている ひと は たいせい いる。,There are a lot of people who want to talk to Tom.
あなたが話をしたがっていたのは誰ですか。,あなた が はなし を したがっていた の は だれ です か。,Who is it that you want to talk to?
彼はここから逃げ出したがっていることを認めた。,かれ は ここ から にげだした がっている こと を みとめた。,He admitted that he wanted to escape from here.
年をとるにしたがって彼女はますます美しくなった。,とし を とる に したがって かのじょ は ますます うつくしく なった。,She became more and more beautiful as she grew older.
年相応にふるまえ。,とし そうおう に ふるまえ。,Act your age.
彼は立派にふるまった。,かれ は りっぱ に ふるまった。,He acquitted himself well.
彼女の声は怒りでふるえた。,かのじょ の こえ は いかり で ふるえた。,Her voice trembled with rage.
彼は聖者のようにふるまった。,かれ は せいじゃ の よう に ふるまった。,He acted like a saint.
腕をふるって料理をしましょう。,うで を ふるって りょうり を しましょう。,I'll try my hand at cooking.
彼は私に対して公正にふるまった。,かれ は わたし にたいして こうせい に ふるまった。,He acted fairly toward me.
お前のふるまいはわが家の名を汚した。,おまえ の ふるまい は わがや の な を よごした。,Your behavior brought disgrace on our family.
君がこんなふるまいをするなんて想像もつかなかった。,きみ が こんな ふるまい を する なんて そうぞう も つかなかった。,I cannot see you behaving like that.
彼が脱獄囚だなんて、私には思いもよらなかった。,かれ が だつごくしゅう だ なんて、わたし には おもい も よらなかった。,It never occurred to me that he might be an escaped prisoner.
アリは夏じゅうせっせとはたらく。,アリ は なつじゅう せっせと はたらく。,Ants work hard all summer.
その仕事はやらないでおこう。,その しごと は やらない でおこう。,Let's not do the work.
彼は私がかくしたものを見つけることが出来なかった。,かれ は わたし が かくした もの を みつける こと が できなかった。,He could not find what I had hidden.
彼女は騒音がきこえないように、両手で耳をふさいだ。,かのじょ は そうおん が きこえない よう に、りょうて で みみ を ふさいだ。,She put her hands over her ears to shut out the noise.
風がやみました。,かぜ が やみました。,The wind has died down.
雪が降りやみました。,ゆき が おりやみました。,It's stopped snowing.
その子供は、母親を見るとすぐに泣きやみました。,その こども は、ははおや を みると すぐ に なきやみました。,"As soon as the child saw his mother, he stopped crying."
その子供はお母さんを見るとすぐに泣きやみました。,その こども は おかあさん を みると すぐ に なきやみました。,"As soon as the child saw his mother, he stopped crying."
誰と行くんですか？,だれ と いく ん です か？,Who are you going with?
手足がむくんでいます。,てあし が むくんでいます。,My hands and legs are swollen.
男の人は歯を磨くんです。,おとこ の ひと は は を みがく ん です。,The man brushes his teeth.
ちょっと、どこへ行くんですか。,ちょっと、どこ へ いく ん です か。,"Hey, where are you going?"
大阪にはどうやって行くんですか。,おおさか には どう やっていく ん です か。,How will you travel to Osaka?
彼は井戸へ行って水をくんできた。,かれ は いど へ いって みず を くんできた。,He fetched some water from the well.
どうして私にそれを聞くんですか？,どうして わたし に それ を きく ん です か？,Why do you ask me that?
入院中の祖母のお見舞いに行くんです。,にゅういんちゅう の そぼ の お みまい に いく ん です。,I'm visiting my grandmother in the hospital.
昨日から右の上の奥歯がうずくんです。,きのう から みぎ の うえ の おくば が うずく ん です。,My upper-right molar has been throbbing since yesterday.
飲む分だけ豆をローストして、ミルで挽くんです。,のむぶん だけ まめ を ロースト して、ミル で ひく ん です。,"We roast just enough beans for the amount we're going to drink, and grind them in the coffee mill."
このお店ではスパゲッティをお箸でいただくんです。,この お みせ では スパゲッティ を お はし で いただく ん です。,"At this restaurant, you eat spaghetti with chopsticks."
彼は手品を使って帽子からウサギをとりだした。,かれ は てじな を つかって ぼうし から ウサギ を とりだした。,He produced a rabbit out of his hat by magic.
私はおじが到着したという電報をうけとった。,わたし は おじ が とうちゃく した という でんぽう を うけとった。,I received a telegram saying that my uncle had arrived.
私はよく風邪をひく。,わたし は よく かぜ を ひく。,I often catch cold.
ギターをひくのはおもしろい。,ギター を ひく の は おもしろい。,Playing the guitar is fun.
ジャクソンは身をひくつもりはなかった。,ジャクソン は み を ひく つもり は なかっ た。,Jackson was not planning to retreat.
「明日ピアノをひくつもりですか」「いいえ」,「あした ピアノ を ひく つもり です か」「いいえ」,"Will you play the piano tomorrow? ""No, I won't."""
こんなところでうたた寝してると、風邪ひくよ。,こんな ところ で うたたね してると、かぜ ひく よ。,"If you take a nap here, you'll catch a cold."
心配しないで。,しんぱい しない で。,Don't worry about it!
気にしないで。,き に しない で。,Don't worry about it!
干渉しないで。,かんしょう しない で。,You keep out of this.
心配しないで！,しんぱい しない で！,Don't worry.
無理しないでね。,むり しない でね。,Take it easy!
かっかしないで。,かっか しない で。,Don't lose your temper.
じゃましないで。,じゃま しない で。,Stop bugging me!
意地悪しないで。,いじわる しない で。,Don't be mean.
口出ししないで。,くちだし しない で。,Stay out of it.
がっかりしないで。,がっかり しない で。,Don't lose heart.
ぐずぐずしないで。,ぐずぐず しない で。,Don't procrastinate.
トム、邪魔しないで。,トム、じゃま しない で。,"Tom, don't interrupt."
抗議をしないでくれ。,こうぎ を しない でくれ。,"Please, don't protest."
心配しないでください。,しんぱい しない でください。,Don't worry.
私のせいにしないでよ。,わたし の せい に しない でよ。,Don't blame me.
驚いたふりをしないで。,おどろいた ふり を しない で。,Don't act surprised.
邪険にしないで下さいよ！,じゃけん に しない でください よ！,Please don't be cold!
心配しないで。簡単だよ。,しんぱい しない で。かんたん だ よ。,Don't worry. It's easy.
心配しないで、助けるよ。,しんぱい しない で、たすける よ。,"Don't worry, I'll help you."
旅先で仕事の話しないでよ。,たびさき で しごと の はなし しない でよ。,Don't talk about work. We're on vacation.
熱はありません。,ねつ は ありません。,I have no fever.
必要ありません。,ひつよう ありません。,I don't need it.
意識がありません。,いしき が ありません。,She is unconscious.
食欲がありません。,しょくよく が ありません。,I have a poor appetite.
証拠がありません。,しょうこ が ありません。,There's no evidence.
石鹸がありません。,せっけん が ありません。,There's no soap.
面白くありません。,おもしろく ありません。,We are not amused.
排卵がありません。,はいらん が ありません。,I don't ovulate.
時間がありません。,じかん が ありません。,I don't have time.
痛くはありません。,いたく は ありません。,It doesn't hurt.
在庫がありません。,ざいこ が ありません。,We're out of stock.
方法はありません。,ほうほう は ありません。,There is no other way.
証拠はありません。,しょうこ は ありません。,There's no proof.
とんでもありません！,とんでも ありません！,No way!
全く問題ありません！,まったく もんだい ありません！,No problem at all!
プールはありません。,プール は ありません。,We don't have a swimming pool.
驚くじゃありませんか！,おどろくじゃありません か！,You startled me!
急ぐ必要はありません。,いそぐ ひつよう は ありません。,There's no hurry.
色違いはありませんか。,いろちがい は ありません か。,Do you have this in any other colors?
大変申し訳ありません。,たいへん もうしわけ ありません。,I'm very sorry.
鍵がかかっている。,かぎ が かかっている。,It's locked.
よし、かかってこい！,よし、かかってこい！,OK! Bring it on!
寄りかかっていいよ。,よりかかって いい よ。,Lean on me.
彼は死にかかっている。,かれ は しにかかっている。,He is on the point of death.
太陽が沈みかかっていた。,たいよう が しずみかかっていた。,The sun was setting.
池には橋がかかっている。,いけ には はし が かかっている。,There is a bridge over the pond.
一日かかってもやり遂げる。,いちにち かかっても やりとげる。,We'll finish it if it takes us all day.
彼から電話がかかってきた。,かれ から でんわ が かかってきた。,I had a phone call from him.
部屋には鍵がかかっていた。,へや には かぎ が かかっていた。,The room was locked.
ガソリンが切れかかっている。,ガソリン が きれかかっている。,We're running out of gas.
私の父は流感にかかっている。,わたし の ちち は りゅうかん に かかっている。,My father is suffering from influenza.
池には橋が一本かかっている。,いけ には はし が いちほん かかっている。,There is a bridge over the pond.
壁にボブの絵がかかっている。,かべ に ボブ の え が かかっている。,There is a portrait of Bob on the wall.
前のドアは鍵がかかっている。,まえ の ドア は かぎ が かかっている。,The front door is locked.
トムは私に寄りかかってきた。,トム は わたし に よりかかってきた。,Tom leaned up against me.
昔、ここには橋がかかっていた。,むかし、ここ には はし が かかっていた。,There used to be a bridge here.
彼女は重い病気にかかっている。,かのじょ は おもい びょうき に かかっている。,She's suffering from a serious disease.
母はひどい風邪にかかっている。,はは は ひどい かぜ に かかっている。,My mother is sick with a bad cold.
彼は私の手にかかって殺された。,かれ は わたし の て に かかって ころされた。,He was killed by my hand.
今日は　霧が　かかっています。,きょう は　きり が　かかっています。,Today it's foggy.
誰がこの問題をしらないんだ？,だれ が この もんだい を しらない ん だ？,Who doesn't know this problem?!
トムが一体何を考えていたのか、私はしらない。,トム が いったい なに を かんがえていた の か、わたし は しらない。,I don't know what Tom thought.
子供は肝をつぶすような事件が起こったしかしらない。,こども は きも を つぶす よう な じけん が おこった しか しらない。,All I know is that something happened that scared the kids to death.
明日までには知っておかないといけない。,あした までには しっておかない といけない。,I need to know by tomorrow.
列車の遅れを見込んでおかないといけない。,れっしゃ の おくれ を みこんでおかない といけない。,We have to allow for the delay of the train.
時間をおかないと追加・削除が反映されない。,じかん を おかない と ついか・さくじょ が はんえい されない。,Additions and deletions are not shown immediately.
彼女を悪く言う奴がいたらただじゃおかないぞ。,かのじょ を わるく いう やつ が いたら ただ じゃ おかない ぞ。,I'd take anybody apart who dared to say a word against her.
郵便配達の人があの犬にかみつかれた。,ゆうびん はいたつ の ひと が あの いぬ に かみつかれた。,The postman was bitten by that dog.
睡眠不足は後でこたえますよ。,すいみん ふそく は あとで こたえます よ。,Your lack of sleep will catch up with you someday.
私はトムを味方とみなした。,わたし は トム を みかた と みなした。,I regarded Tom as a friend.
村人は、そのよそ者を自分たちの敵とみなした。,むらびと は、その よそもの を じぶんたち の てき と みなした。,The villagers regarded the stranger as their enemy.
止まれとおっしゃっているんですか？,とまれ と おっしゃっている ん です か？,Are you telling me to stop?
もう一度おっしゃっていただけますか。,もういちど おっしゃって いただけます か。,I beg your pardon?
何をおっしゃっているのか、ほとんど分かりません。,なに を おっしゃっている の か、ほとんど わかりません。,I have a very vague idea of what you are talking about.
道に迷ってしまいました。,みち に まよってしまいました。,I got lost.
喋りすぎてしまいましたね。,しゃべりすぎてしまいました ね。,"Ah, I've chattered on too much haven't I."
事故に遭ってしまいましたが。,じこ に あってしまいました が。,I had an accident.
車がエンコしてしまいました。,くるま が エンコ してしまいました。,The car went and broke down.
両足に痣ができてしまいました。,りょうあし に あざ が できてしまいました。,I got bruises on both legs.
部屋に忘れ物をしてしまいました。,へや に わすれもの を してしまいました。,I left something in the room.
誤って洗剤を飲んでしまいました。,あやまって せんざい を のんでしまいました。,He swallowed detergent by mistake.
彼女は買い物に行ってしまいました。,かのじょ は かいもの に いってしまいました。,She has gone shopping.
パスポートを無くしてしまいました！,パスポート を なくしてしまいました！,I lost my passport!
彼女は携帯をなくしてしまいました。,かのじょ は けいたい を なくしてしまいました。,She lost her phone.
私は今朝学校に遅刻してしまいました。,わたし は けさ がっこう に ちこく してしまいました。,I wasn't in time for school this morning.
トムさんは語るに落ちてしまいました。,トムさん は かたる に おちてしまいました。,Tom let the cat out of the bag.
クラッチペダルを壊してしまいました。,クラッチ ペダル を こわしてしまいました。,I broke the clutch.
すみませんが、お名前を忘れてしまいました。,すみません が、お なまえ を わすれてしまいました。,"I'm sorry, but I have forgotten your name."
高速道路で渋滞に巻き込まれてしまいました。,こうそく どうろ で じゅうたい に まきこまれてしまいました。,I got stuck in heavy traffic on the expressway.
すみません、貴方を起こしてしまいましたね。,すみません、あなた を おこしてしまいました ね。,I'm sorry I woke you up.
すみません。また早とちりをしてしまいました。,すみません。また はやとちり を してしまいました。,"Sorry, I've gone and jumped to conclusions again."
あなたの本を車の中に置いてきてしまいました。,あなた の ほん を くるま の なか に おいてきてしまいました。,I left your book in the car.
私の両親は私を家から追い出してしまいました。,わたし の りょうしん は わたし を いえ から おいだしてしまいました。,My parents have kicked me out of the house.
どこかこの辺で私は鍵をなくしてしまいました。,どこ か この あたり で わたし は かぎ を なくしてしまいました。,I've just gone and lost my key somewhere around here.
我慢できない。,がまん できない。,I can't put up with it.
言葉にできない。,ことば に できない。,I don't know how to say it.
即答はできない。,そくとう は できない。,I can't reply to you immediately.
説明もできないよ。,せつめい も できない よ。,I can't explain it either.
もう我慢できない。,もう がまん できない。,I can't take it any more.
彼に連絡できない。,かれ に れんらく できない。,I cannot get in touch with him.
誰も抵抗できない。,だれ も ていこう できない。,No one can resist.
なんでできないの？,なんで できない の？,Why can't you do that?
彼には我慢できない。,かれ には がまん できない。,I can't put up with him.
それ以上はできない。,それ いじょう は できない。,I can't do any more than that.
あなたは抵抗できない。,あなた は ていこう できない。,You're irresistible.
その案は承知できない。,その あん は しょうち できない。,I can't approve the plan.
あの人は信用できない。,あの ひと は しんよう できない。,I can't trust him.
私はダンスもできない。,わたし は ダンス も できない。,I can't dance either.
トムはそれができない。,トム は それ が できない。,Tom can't do that.
あなたを信用できない。,あなた を しんよう できない。,I can't trust you.
やり方が理解できない。,やりかた が りかい できない。,I don't understand how to do it.
トムは車を運転できない。,トム は くるま を うんてん できない。,Tom is not able to drive a car.
その事実は否定できない。,その じじつ は ひてい できない。,The fact cannot be denied.
私は彼女が理解できない。,わたし は かのじょ が りかい できない。,I can't make her out.
すみません。,すみません。,I'm sorry.
あっ、すみません。,あっ、すみません。,"Oh, I'm sorry."
本当にすみません。,ほんとうに すみません。,"Oh, I'm terribly sorry."
お話し中すみません。,おはなしちゅう すみません。,May I cut in?
お邪魔してすみません。,お じゃま して すみません。,I'm sorry to bother you.
すみません、通ります。,すみません、とおります。,"Excuse me, I'm coming through."
お話の途中ですみません。,おはなし の とちゅう で すみません。,Excuse me for interrupting you.
返事が遅れてすみません。,へんじ が おくれて すみません。,I'm sorry for the late response.
すみません、前通ります。,すみません、まえ とおります。,"Excuse me, I'm coming through."
約束を破ってすみません。,やくそく を やぶって すみません。,I'm sorry for breaking my promise.
こんな格好ですみません。,こんな かっこう で すみません。,I'm sorry that I'm dressed like this.
お役に立てずすみません。,お やく に たてず すみません。,Sorry I couldn't be of much use.
トピずれです。すみません。,トピ ずれ です。すみません。,This is off-topic. Sorry.
すみません、間違えました。,すみません、まちがえました。,"Sorry, I made a mistake."
ミスタイプです。すみません。,ミス タイプ です。すみません。,It's a typo. Sorry.
タイプミスです。すみません。,タイプ ミス です。すみません。,It's a typo. Sorry.
打ち間違いです。すみません。,うち まちがい です。すみません。,It's a typo. Sorry.
すみません、今、何時ですか。,すみません、いま、なんじ です か。,"Excuse me, what time is it?"
すみません、宿題忘れました。,すみません、しゅくだい わすれました。,"I'm sorry, I forgot to do my homework."
違いがわからない。,ちがい が わからない。,I don't see any difference.
自分の年齢がわからない。,じぶん の ねんれい が わからない。,I don't even know how old I am.
誰にも俺のことはわからない。,だれ にも おれ の こと は わからない。,Nobody understands me.
彼にどうなったかわからない。,かれ に どう なった か わからない。,I don't know what happened to him.
私はなぜか本当にわからない。,わたし は なぜ か ほんとうに わからない。,I don't really know why.
彼の論理が少しもわからない。,かれ の ろんり が すこし も わからない。,I can't understand his theory at all.
このバイクの値段はわからない。,この バイク の ねだん は わからない。,I don't know how much this motorcycle is.
彼がいつ来るかよくわからない。,かれ が いつ くる か よく わからない。,I am not sure when he will come.
彼は善と悪の区別がわからない。,かれ は ぜん と あく の くべつ が わからない。,He doesn't know the difference between right and wrong.
私を案内すべき人がわからない。,わたし を あんない すべき ひと が わからない。,I don't know who should guide me.
やり方がわからないんでしょう？,やりかた が わからない ん でしょう？,"You don't know how to do it, do you?"
トムがいくつなのかわからない。,トム が いくつ な の か わからない。,I don't know how old Tom is.
トムはどこにいるかわからない。,トム は どこ に いる か わからない。,I don't know where Tom is.
ちょっと話がわからないんですが。,ちょっと はなし が わからない ん です が。,I can't follow you.
私は次に何をすべきかわからない。,わたし は つぎに なに を すべき か わからない。,I don't know what to do next.
明日雨が降るかどうかわからない。,あした あめ が ふる か どう か わからない。,I do not know if it will rain tomorrow.
どこに行けばいいのかわからない。,どこ に いけば いい の か わからない。,I don't know where I should go.
どこに入れればいいかわからない。,どこ に はいれれば いい か わからない。,I don't know where to put it in.
