Word,Reading,Meaning
内憂外患,ないゆうがいかん,troubles both at home and abroad
罹患,りかん,contracting a disease
ペイ患,ペイかん,drug addict
絡み,からみ,"linkage, entanglement, involvement, relationship"
連絡,れんらく,"to contact, to get in touch; contacting, getting in touch, communication, call, message; connection, coordination, junction; intercalary, intercalaris, internuncial"
短絡,たんらく,"electric short-circuit; drawing a hasty inference between two events, jumping to a quick conclusion, dealing with matters quickly and carelessly"
絡まる,からまる,"to be entwined, to be involved"
絡む,からむ,"to entangle, to entwine; to pick a quarrel; to be involved with"
脈絡,みゃくらく,"chain of reasoning, logical connection, coherence, context"
絡み合う,からみあう,"to be(come) intertwined, to be entangled"
絡みつく,からみつく,"to twine oneself around, to coil around"
絡まり,からまり,entanglement
絡める,からめる,"to arrest; to entwine, to twine around, to mix together; to coordinate (with)"
応募,おうぼ,"subscription, application"
募集,ぼしゅう,"recruiting, taking applications"
募る,つのる,"to invite contributions, etc., to solicit help, participation, etc., to recruit (e.g. soldiers); to grow violent, to become stronger, to become worse"
募金,ぼきん,"fund-raising, collection of funds"
公募,こうぼ,"public appeal (e.g. for contributions), public offering (of securities), public advertisement (of a post)"
街頭募金,がいとうぼきん,streetside fundraising
共同募金,きょうどうぼきん,community chest
募債,ぼさい,"raising of a loan, loan floatation"
応募者,おうぼしゃ,applicant
急募,きゅうぼ,urgent recruit
使い捨て,つかいすて,"throwaway, disposable"
切り捨て,きりすて,"(historical) using people of low rank as sword fodder, omission, rounding down"
切り捨てる,きりすてる,"to cut down, to slay; to truncate, to round down, to round off; to omit, to discard, to cast away"
捨て身,すてみ,at the risk of one's life
投げ捨てる,なげすてる,to throw away
見捨てる,みすてる,"to abandon, to fail, to desert"
呼び捨て,よびすて,"addressing someone without an honorific such as ""san"""
捨て石,すていし,"(in the game of go) a sacrificed stone, ornamental garden stone"
掛け捨て,"かけすて, かけずて",failing to honor (honour) an installment payment (instalment)
捨てる,すてる,"to throw away, to cast aside, to abandon, to resign, to break up with (someone)"
支払い,しはらい,payment
支払う,しはらう,to pay
未払い,みはらい,"unpaid, overdue"
払い,はらい,"payment, bill, account; sweeping, clearing away; sweeping stroke (e.g. when writing kanji)"
払う,はらう,"to pay; to brush, to wipe"
利払い,りばらい,interest payment
払い戻し,はらいもどし,"repayment, refund, payback"
前払い,まえばらい,"payment in advance, prepayment"
門前払い,もんぜんばらい,"turning another away at the gate or front door, refusing to receive a caller"
不払い,ふばらい,"nonpayment, default"
綿,わた,"cotton plant (Gossypium spp.); batting, wadding, padding"
綿密,めんみつ,"minute, detailed, careful, scrupulous, thorough"
木綿,"もめん, きわた",cotton (material); red silk-cotton tree (Bombax ceiba)
綿花,めんか,"raw cotton, cotton wool"
綿糸,めんし,cotton yarn (thread)
綿布,めんぷ,"cotton cloth, cotton material"
綿,めん,cotton
綿棒,めんぼう,cotton swab
ガラス綿,ガラスめん,glass wool
綿ぼこり,わたぼこり,"dustballs, cotton dust, fluff, flecks of fibre (fiber)"
銅,"どう, あかがね",copper
銅像,どうぞう,bronze statue
銅板,どうばん,sheet copper
銅版画,どうはんが,"copperplate engraving, etching"
青銅,せいどう,bronze
銅山,どうざん,copper mine
青銅器,せいどうき,bronze ware
銅鐸,どうたく,bronze bell
銅メダル,どうメダル,bronze medal
白銅,はくどう,nickel and copper alloy
上昇,じょうしょう,"rising, ascending, climbing"
昇進,しょうしん,promotion
昇格,しょうかく,raising of status
昇給,しょうきゅう,salary raise
上昇気流,じょうしょうきりゅう,"ascending air current, updraft; upward trend, rise in popularity, influence, etc."
昇級,しょうきゅう,"promotion, advancement"
昇華,しょうか,sublimation
昇任,しょうにん,promotion
昇降,しょうこう,"ascending and descending, going up and down"
昇り,のぼり,"ascent, climbing, ascending (path), climb; up-train (e.g. going to Tokyo); northward (towards Tokyo)"
腹,はら,"abdomen, belly, stomach; one's mind, one's real intentions, one's true motive; loop (physics); counter for hard roe"
裏腹,うらはら,"opposite, reverse, contrary"
下っ腹,したっぱら,"abdomen, stomach, under parts"
腹部,ふくぶ,abdomen
太っ腹,ふとっぱら,"generous, magnanimous, big-hearted, broad-minded"
腹痛,"ふくつう, はらいた","stomach ache, abdominal pain"
腹心,ふくしん,"one's confidant, trusted friend, trusted retainer"
中腹,ちゅうふく,"mountain side, halfway up"
空腹,くうふく,hunger
山腹,さんぷく,"hillside, mountainside"
遅れ,おくれ,"delay, lag, postponement, falling behind"
遅い,おそい,"slow; late (e.g. ""late at night""); too late; dull, stupid"
遅延,ちえん,"delay, latency"
出遅れる,でおくれる,to get a late start
遅らせる,おくらせる,to put something off
遅々,ちち,"slow, lagging, tardy"
遅刻,ちこく,"lateness, late coming"
手遅れ,ておくれ,being (too) late; belated treatment
立ち遅れ,たちおくれ,slow start
知恵遅れ,ちえおくれ,mental retardation
乳,"ちち, ち","milk, breast; loop; decorative bump (on a hanging bell)"
牛乳,ぎゅうにゅう,(cow's) milk
乳児,にゅうじ,"infant, suckling baby"
乳幼児,にゅうようじ,"infants, babies"
乳製品,にゅうせいひん,dairy products
母乳,ぼにゅう,mother's milk
乳房,"ちぶさ, にゅうぼう","breast, nipple, udder"
乳牛,"にゅうぎゅう, ちちうし","milk cow, dairy cattle, milch cow"
授乳,じゅにゅう,"suckling (a baby), nursing"
乳業,にゅうぎょう,dairy industry
紅,"くれない, べに, こう","deep red, crimson; rouge, lipstick"
紅白,こうはく,"red and white, colours for festive or auspicious occasions (colors)"
紅茶,こうちゃ,black tea
口紅,くちべに,lipstick
紅葉,"こうよう, もみじ","autumn colours, fall colors, leaves changing color (colour); leaves turning red, red leaves; leaves turning yellow, yellow leaves; (Japanese) maple (Acer japonicum); venison"
紅潮,こうちょう,"flush, blush"
紅海,こうかい,Red Sea
紅色,"こうしょく, べにいろ","red (color, colour)"
深紅,"しんく, しんこう",deep crimson
紅,あか,"red, crimson, scarlet; red-containing colour (e.g. brown, pink, orange); Red (i.e. communist); red light; red ink (i.e. in finance or proof-reading), (in) the red; complete, total, perfect, obvious"
冊子,さっし,"book, booklet, story book, pamphlet, notebook"
小冊子,しょうさっし,"booklet, pamphlet"
別冊,べっさつ,"separate volume, extra issue, supplement"
短冊,"たんじゃく, たんざく","long, narrow card on which Japanese poems are written (vertically)"
冊数,さっすう,number of books
冊,さつ,counter for books; volume
分冊,ぶんさつ,"separate volume, fascicle, fascicule"
一冊,いっさつ,one copy (e.g. book)
冊子,そうし,"written work (esp. a bound text, as opposed to a scroll); a text written entirely in kana; graphic novel (esp. one created between the 12th and 19th centuries); notebook (for practicing kana, drawing pictures, etc.); rough draft"
冊立,さくりつ,imperial investiture
香,きょう,lance (shogi)
香り,かおり,"aroma, fragrance, scent, smell"
香港,"ほんこん, ホンコン",Hong Kong (China)
香水,こうすい,perfume
香辛料,こうしんりょう,spices
香典,こうでん,"condolence gift, gift brought to a funeral, incense money"
線香,せんこう,incense stick
芳香,ほうこう,"perfume, fragrance, aroma, balm"
香る,かおる,"to smell sweet, to be fragrant"
香料,こうりょう,"flavoring, flavouring, spices; fragrance, perfume, incense; condolence gift"
変更,へんこう,"change, modification, alteration, revision, amendment"
更新,こうしん,"renewal, update, innovation, renovation"
更に,さらに,"furthermore, again, after all, more and more, moreover"
更迭,こうてつ,"change, shake-up, reshuffle (e.g. of a cabinet), dismissal (e.g. of a minister), exchanging places"
更改,こうかい,"renewal, renovation, reform"
更生,こうせい,"rehabilitation, regeneration, rebirth, resuscitation, reorganization, reorganisation"
会社更生法,かいしゃこうせいほう,Corporate Rehabilitation Law
更正,こうせい,"correction, revision, rectification"
更年期,こうねんき,"menopause, change of life"
更衣室,こういしつ,"locker room, changing room, dressing room"
抱える,かかえる,"to hold or carry under or in the arms; to have (esp. problems, debts, etc.); to employ, to engage, to hire"
抱負,ほうふ,"aspiration, ambition, pretension"
抱え,かかえ,armful; employee
丸抱え,まるがかえ,"completely financed, sponsored, under patronage"
辛抱,しんぼう,"patience, endurance"
抱き合う,だきあう,to embrace each other
辛抱強い,しんぼうづよい,"patient, persevering"
抱え込む,かかえこむ,"to hold (carry) a thing in one's arm, to embrace (a baby), to take upon oneself"
抱き上げる,だきあげる,to hold up in one's arms
抱擁,ほうよう,"embrace, hug, holding in one's arms"
恐れ,おそれ,"fear, horror, anxiety, concern, uneasiness"
恐怖,"きょうふ, くふ","fear, dread, dismay, terror"
恐竜,きょうりゅう,dinosaur
恐らく,おそらく,"perhaps, likely, probably, I dare say"
恐れる,おそれる,"to fear, to be afraid of"
恐喝,きょうかつ,"threat, blackmail"
恐ろしい,おそろしい,"terrible, dreadful"
恐慌,きょうこう,"panic, scare, consternation"
恐縮,きょうしゅく,"shame, very kind of you, sorry to trouble"
恐怖症,きょうふしょう,"morbid fear, phobia"
耕作,こうさく,"cultivation, farming"
農耕,のうこう,"farming, agriculture"
耕地,こうち,arable land
耕す,たがやす,"to till, to plow, to plough, to cultivate"
休耕,きゅうこう,lying fallow
水耕,すいこう,hydroponics
耕具,こうぐ,"farm tools, farm implements"
耕作者,こうさくしゃ,cultivator
晴耕雨読,せいこううどく,"working in the field in fine weather and reading at home in rainy weather, living in quiet retirement dividing time between work and intellectual pursuits"
中耕機,ちゅうこうき,cultivator
卵,たまご,"eggs, egg, spawn, roe; hen egg; (an expert) in the making"
産卵,さんらん,"egg-laying, spawning"
受精卵,じゅせいらん,"fertilized eggs, fertilised eggs"
卵子,らんし,"ovum, ovule, egg cell"
卵巣,らんそう,ovary
卵黄,らんおう,egg yolk
卵白,らんぱく,"white of an egg, albumen"
鶏卵,けいらん,hens egg
排卵誘発剤,はいらんゆうはつざい,ovulation-inducing drug
生卵,なまたまご,raw egg
戻し,もどし,"returning, giving back"
戻り,もどり,"return, reaction, recovery; return (from a procedure)"
戻す,もどす,"to restore, to put back, to return, to give back"
買い戻し,かいもどし,"repurchase, redemption"
払い戻し,はらいもどし,"repayment, refund, payback"
差し戻す,さしもどす,"to send back, to refer back"
後戻り,あともどり,backtrack
逆戻り,ぎゃくもどり,"retrogression, reversal, relapse"
買い戻す,かいもどす,"to buy back, to redeem"
取り戻す,とりもどす,"to take back, to regain"
巨人,きょじん,"giant, great man; Tokyo Giants (baseball team)"
巨額,きょがく,great sum
巨大,きょだい,"huge, gigantic, enormous"
巨匠,きょしょう,"master, masterhand, maestro"
巨体,きょたい,large build
巨木,きょぼく,big tree
巨費,きょひ,great cost
巨悪,きょあく,"great evil, consummate villain"
巨漢,きょかん,giant
巨星,きょせい,"giant star, great man, big-shot"
地震,"じしん, ない, なえ",earthquake
震源,しんげん,"epicentre, epicenter, earthquake centre, earthquake center"
震度,しんど,Japanese earthquake scale (level 1: weak to level 7: devastation)
大震災,だいしんさい,great earthquake (disaster)
微震,びしん,slight earthquake
余震,よしん,aftershock
震動,しんどう,"shock, tremor, impact"
軽震,けいしん,weak earthquake
弱震,じゃくしん,mild earthquake
震災,しんさい,earthquake disaster; Great Kanto Earthquake (1923)
若干,じゃっかん,"some, few, number of"
干渉,かんしょう,"interference, intervention"
干潟,ひがた,"tidal flat, tideland"
干す,ほす,"to air, to dry, to desiccate; to drain (off); to drink up; to deprive of a role, job, etc. (usu. in the passive)"
干し草を付けた馬,ほしくさをつけたうま,horse loaded with hay
梅干し,うめぼし,dried plum
干拓,かんたく,land reclamation (from sea)
干る,ひる,to dry
干満,かんまん,ebb and flow
日干し,ひぼし,sun-dried
頂,いただき,"crown (of head), summit (of mountain), spire; easy win for one; something received"
頂点,ちょうてん,"top, summit"
山頂,さんちょう,summit (e.g. mountain)
頂上,ちょうじょう,"top, summit, peak"
登頂,とうちょう,climbing to the summit
絶頂,ぜっちょう,"summit, peak, climax"
有頂天,うちょうてん,ecstasy
頭頂,とうちょう,"top of the head, vertex (anat.), parietal"
仏頂面,ぶっちょうづら,sour look
頂き,いただき,"crown (of head), summit (of mountain), spire; easy win for one; something received"
越える,こえる,"to cross over, to cross, to pass through, to pass over (out of); to exceed"
三越,みつこし,Mitsukoshi (department store)
勝ち越し,かちこし,more wins than losses (sport)
越し,ごし,"across, over, beyond"
持ち越す,もちこす,"to carry over, to carry forward, to keep (for later), to defer"
上越,じょうえつ,"area on Japan Sea side of Japan, including Niigata"
引っ越し,ひっこし,"moving (dwelling, office, etc.), changing residence"
中越,ちゅうごし,over center field (centre)
越境,えっきょう,border transgression
越年,えつねん,"ring out the old year, hibernation"
接触,せっしょく,"touch, contact"
感触,かんしょく,"sense of touch, feeling, sensation, texture (of food while chewing)"
抵触,ていしょく,"collision, conflict; being contrary, being incompatible, being inconsistent, being contradictory; being in violation (of the law, etc.)"
触れ合い,ふれあい,"contact, connectedness"
触発,しょくはつ,"touching off something, provocation"
触媒,しょくばい,catalyst
折りに触れて,おりにふれて,"occasionally, on opportunity"
一触即発,いっしょくそくはつ,"critical (touch and go) situation, explosive situation"
手触り,てざわり,"feel, touch"
触る,さわる,"to touch, to feel"
依然,いぜん,"still, as yet, as it has been"
依然として,いぜんとして,"still, as yet, as of old"
依頼,いらい,"request, commission, dispatch, despatch; dependence, trust"
依存,"いぞん, いそん","dependence, dependent, reliance"
依拠,いきょ,dependence
依頼者,いらいしゃ,client
依願,いがん,in accordance with one's request
に依って,によって,"according to, by (means of), due to, because of"
に依る,による,"by means of, due to, because of, according to"
に依ると,によると,according to (someone)
籍,せき,"one's family register, one's domicile"
国籍,こくせき,nationality
書籍,しょせき,"book, publication"
移籍,いせき,"changing household registry, transfer (e.g. of one's name in the register)"
戸籍,こせき,"census, family register"
船籍,せんせき,"ship's nationality, ship's country of registration"
在籍,ざいせき,"enrollment, enrolment"
党籍,とうせき,"party register, membership in a party"
本籍,ほんせき,one's permanent residence
無国籍,むこくせき,statelessness
汚職,おしょく,corruption
汚染,おせん,"pollution, contamination"
汚れ,よごれ,"dirt, filth"
汚濁,おだく,"pollution, contamination, corruption, graft"
汚名,おめい,"stigma, dishonour, dishonor, infamy"
汚れる,よごれる,"to get dirty, to become dirty; to become sullied"
汚水,おすい,"filthy water, sewage"
汚点,おてん,"stain, blot, flaw, disgrace"
汚い,きたない,"dirty, unclean, filthy"
汚物,おぶつ,"dirt, dust, garbage"
互い,たがい,"mutual, reciprocal"
互いに,たがいに,"mutually, with each other, reciprocally, together"
相互,そうご,"mutual, reciprocal"
互角,ごかく,"equality, evenness, par, good match"
交互,こうご,"mutual, reciprocal, alternate"
互換,ごかん,"transposition, interchangeable, compatible (e.g. PC)"
相互銀行,そうごぎんこう,mutual savings bank
互助,ごじょ,"mutual aid, cooperation, benefit"
相互作用,そうごさよう,interaction
互選,ごせん,"mutual election, co-opting"
逃げる,にげる,"to escape, to run away"
逃げ,にげ,"escape, getaway, evasion"
逃走,とうそう,"flight, desertion, escape"
逃亡,とうぼう,"escape, flight, running away, elopement, fleeing"
逃れる,のがれる,to escape
逃げ切る,にげきる,"to get away, to manage to hold on"
逃避,とうひ,"escape, evasion, flight"
逃がす,にがす,"to let loose, to set free, to let escape"
逃す,のがす,"to let loose, to set free, to let escape"
逃げ出す,にげだす,"to run away, to escape from"
傾向,けいこう,"tendency, trend, inclination"
傾斜,けいしゃ,"inclination, slant, slope, bevel, list, dip"
傾注,けいちゅう,"devotion, concentration"
傾き,かたむき,"slope, inclination, list; tendency, trend, bent, disposition, bias; slope (of a linear function)"
右傾,うけい,"rightist, leaning to the right"
前傾,ぜんけい,forward inclination (tilt)
傾城,けいせい,"beauty, siren, courtesan, prostitute"
傾聴,けいちょう,listening closely
傾ける,かたむける,"to incline, to list, to bend, to lean, to tip, to tilt, to slant, to concentrate on, to ruin (a country), to squander, to empty"
傾れる,なだれる,"to slope, to descend, to slide (snow, etc.)"
一緒,いっしょ,"together, meeting, company"
緒,お,"cord, strap, thong"
情緒,"じょうしょ, じょうちょ","emotion, feeling"
端緒,"たんしょ, たんちょ","a clue, start, beginning"
由緒,ゆいしょ,"history, pedigree, lineage"
緒戦,"しょせん, ちょせん","beginning of hostilities, beginning of competition"
情緒障害,"じょうしょしょうがい, じょうちょしょうがい",(suffering) an emotional disturbance
緒,いとぐち,"thread end, beginning, clue"
へその緒,へそのお,umbilical cord
緒につく,しょにつく,"to be started, to get underway"
跡,あと,"trace, tracks, mark, sign; remains, ruins; scar"
遺跡,いせき,"historic ruins (remains, relics)"
足跡,"あしあと, そくせき",footprints
奇跡,きせき,"miracle, wonder, marvel"
追跡,ついせき,"pursuit, tracking (e.g. in computer graphics), keeping records on, tracing"
軌跡,きせき,locus; wagon tracks
傷跡,"きずあと, しょうこん","scar, cicatrix"
失跡,しっせき,"absconding, disappearance"
焼け跡,やけあと,"ruins of a fire, fire-devastated area"
形跡,けいせき,"traces, evidence"
駐車場,ちゅうしゃじょう,"parking lot, parking place"
駐在,ちゅうざい,"residence, stay"
駐日,ちゅうにち,resident in Japan
駐留,ちゅうりゅう,"stationing (e.g. of troops), garrison"
駐車,ちゅうしゃ,parking (e.g. car)
駐屯,ちゅうとん,"stationing (troops), occupancy"
常駐,じょうちゅう,"staying permanently, being stationed, resident"
進駐,しんちゅう,"occupation, stationing"
進駐軍,しんちゅうぐん,occupying forces
駐在所,ちゅうざいしょ,"police substation, residential police box"
紹介,しょうかい,"introduction, referral"
自己紹介,じこしょうかい,self-introduction
紹介状,しょうかいじょう,letter of introduction
紹介者,しょうかいしゃ,"person who introduces someone, introducer"
新刊紹介,しんかんしょうかい,book review
紹介文,しょうかいぶん,introductory essay
紹興酒,"しょうこうしゅ, シャオシンチュウ, シャオシンチュー",shaoxingjiu (Chinese alcohol made from rice or glutinous millet)
晩,ばん,evening; counter for nights
晩年,ばんねん,(one's) last years
毎晩,まいばん,every night
一晩,ひとばん,"one evening, all night, overnight"
晩婚,ばんこん,late marriage
早晩,そうばん,"sooner or later, eventually"
晩秋,ばんしゅう,late autumn (fall); ninth month of the lunar calendar
今晩,こんばん,"tonight, this evening"
朝晩,あさばん,morning and evening
晩期,ばんき,the last stage
雇用,こよう,"employment (long term), hire"
解雇,かいこ,"discharge, dismissal"
雇う,やとう,"to employ, to hire"
雇い,やとい,"employee, employment"
雇い主,"やといぬし, こしゅ",employer
日雇い,ひやとい,"daily employment, hiring by the day, day laborer, day labourer"
完全雇用,かんぜんこよう,full employment
雇,やとい,"employee, employment"
解雇者,かいこしゃ,person who has been laid off
雇員,こいん,"assistant, employee"
為替,かわせ,"money order, draft; exchange (e.g. foreign)"
代替,"だいがえ, だいがわり, だいたい","change of ownership, substitution, subrogation, alternation; alternative, substitute"
為替相場,かわせそうば,exchange rates
切り替え,"きりかえ, せったい","exchange, conversion, replacement, switching (to), switchover"
替え玉,かえだま,"substitute, double; second serving (ball) of noodles (to add to previously purchased ramen)"
替わり,かわり,"a turn (i.e. at bat), a replacement"
振替,ふりかえ,"transfer (money), change"
替え,かえ,"change, alteration, substitute"
衣替え,ころもがえ,"seasonal change of clothing, changing (one's) dress for the season; renovation, facelift, changing appearance"
入れ替え,いれかえ,"replacement, substitution, change"
参拝,さんぱい,"visit to a shrine or temple, paying homage at a shrine or temple"
礼拝,"れいはい, らいはい","worship (esp. Christian), adoration, divine service; worship (esp. Buddhist and Shinto)"
崇拝,すうはい,"worship, adoration, admiration, cult"
拝金,はいきん,"money-worship, mammon-worship"
拝見,はいけん,"seeing, look at"
拝観,はいかん,"see, inspect, visit"
拝む,おがむ,"to worship; to beg, to make a supplication; to see (something or someone of high status, in modern Japanese sometimes sarcastic)"
拝殿,はいでん,"front shrine, hall of worship"
拝,はい,worship
拝啓,はいけい,Dear (so and so)
棒,ぼう,"pole, rod, stick"
泥棒,どろぼう,"thief, burglar, robber, theft"
鉄棒,"てつぼう, かなぼう","iron rod, crowbar, horizontal bar (gymnastics)"
用心棒,ようじんぼう,bodyguard
棒高跳び,ぼうたかとび,pole vault (jump)
相棒,あいぼう,"partner, pal, accomplice"
平行棒,へいこうぼう,parallel bars
棒状,ぼうじょう,cylinder or rod-shaped
警棒,けいぼう,baton
指揮棒,しきぼう,"conductor's stick, conductor's baton"
贈る,おくる,"to send, to give to, to award to, to confer on"
贈賄,ぞうわい,"bribery, corruption, graft"
贈呈,ぞうてい,presentation
贈り物,おくりもの,"present, gift"
贈与,ぞうよ,"donation, presentation"
寄贈,"きぞう, きそう","donation, presentation, gift"
贈答,ぞうとう,exchange of presents
贈り主,おくりぬし,sender (of a present)
贈収賄,ぞうしゅうわい,"bribery, corruption"
位記追贈,いきついそう,conferment of posthumous rank
薄れる,うすれる,"to fade, to become dim"
薄い,うすい,"thin; pale, light; watery, dilute, sparse; weak (taste, etc.); slim (probability, etc.), small"
希薄,きはく,"thin (e.g. air), lean, rarified, diluted, sparse, weak, rarefied"
精神薄弱,せいしんはくじゃく,"mental retardation, mentally retarded"
肉薄,にくはく,"come close to, closing in upon, pressing hard (on the enemy), challenge"
薄暗い,うすぐらい,"dim, gloomy"
手薄,てうす,"short of hands, insufficient"
薄,すすき,"Japanese pampas grass (Miscanthus sinensis), silver grass, zebra grass"
薄膜,"うすまく, はくまく",thin film
薄力粉,はくりきこ,"wheat flour of low viscosity, weak flour"
奥,おく,"interior, inner part, inside"
奥行き,おくゆき,"depth, length"
奥山,おくやま,"remote mountain, mountain recesses"
奥地,"おうち, おくち","interior, backwoods, hinterland, back regions"
奥様,おくさま,"wife, your wife, his wife, married lady, madam"
奥深い,"おくふかい, おくぶかい","profound, deep"
山奥,やまおく,mountain recesses
奥底,"おくそこ, おくぞこ","depth, bottom (of one's heart)"
奥の手,おくのて,"left hand, upper hand, secret skills, secret, mystery, last resort, trump card"
奥まって,おくまって,"secluded, innermost"
大詰め,おおづめ,"final scene, the end, finale"
詰まらせる,つまらせる,to make shorter
詰まる,つまる,"to be blocked, to be packed; to hit the ball near the handle of the bat (baseball)"
缶詰,かんづめ,"packing (in cans), canning, canned goods, tin can"
字詰め,じづめ,"number of characters, manuscript paper, printed matter"
行き詰まり,"いきづまり, ゆきづまり","deadlock, stalemate, impasse, dead end"
手詰まり,てづまり,stalemate
詰まり,つまり,"in short, in brief, in other words, that is to say, in the long run, after all, blockade, stuffing, ultimate"
行き詰まる,"いきづまる, ゆきづまる","to reach the limits, to come to the end of one's tether"
切羽詰まる,せっぱつまる,"to be at one's wit's end, to be cornered"
切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occasion"
追っ掛ける,おっかける,"to chase, to run after, to pursue"
仕掛け,しかけ,"device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge"
呼び掛け,よびかけ,"call, appeal"
手掛かり,てがかり,"clue, key, trail, scent, track, contact; handhold, on hand"
掛ける,かける,"to hang (e.g. picture), to hoist (e.g. sail), to raise (e.g. flag); to sit; to be partway (verb), to begin (but not complete); to take (time, money), to expend (money, time, etc.); to make (a call); to multiply; to secure (e.g. lock); to put on (glasses, etc.); to cover; to burden someone; to apply (insurance); to turn on (an engine, etc.), to set (a dial, an alarm clock, etc.); to put an effect (spell, anaesthetic, etc.) on; to hold an emotion for (pity, hope, etc.); to bind; to pour (or sprinkle, spray, etc.) onto; to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.); to increase further; to catch (in a trap, etc.); to set atop; to erect (a makeshift building); to hold (a play, festival, etc.); (after -masu stem of verb) indicates (verb) is being directed to (someone)"
掛け声,かけごえ,"yell used to time or encourage activity (e.g. ""Heave ho!"", ""On three ... One, two, three!"" in English), enthusiastic shout from the audience (e.g. in kabuki), shouting (in concerts)"
呼び掛ける,よびかける,"to call out to, to accost, to address (crowd), to appeal"
寄り掛かる,よりかかる,"to lean against, to recline on, to lean on, to rely on"
掛け,かけ,"credit; partially, half"
双,そう,pair
双方,そうほう,"two way, both parties, mutual, both"
双子,"ふたご, そうし","twins, a twin"
双葉,ふたば,"bud, sprout"
双眼鏡,そうがんきょう,"binoculars, field glasses"
双生児,そうせいじ,twins
双発,そうはつ,two-motored
双頭,そうとう,double-headed
一卵性双生児,いちらんせいそうせいじ,identical twins
双ぶ,ならぶ,"to line up, to stand in a line; to rival, to match, to equal"
刺激,しげき,"stimulus, impetus, incentive, encouragement, motivation"
名刺,めいし,business card
刺し身,さしみ,sashimi (sliced raw fish)
刺す,さす,"to pierce, to stab, to prick, to thrust, to bite, to sting, to pin down, to stitch, to put (a runner) out, to pole (a boat), to catch (with a line), to stick"
刺し,さし,sharpened tube for testing rice in bags; sashimi (sliced raw fish)
風刺,ふうし,"satire, irony, sarcasm"
刺さる,ささる,"to stick, to be stuck"
刺殺,しさつ,stabbing to death; putting out (baseball)
突き刺さる,つきささる,"to stick into, to pierce, to run into"
刺繍,ししゅう,embroidery
到着,とうちゃく,arrival
到来,とうらい,arrival
到達,とうたつ,"reaching, attaining, arrival"
周到,しゅうとう,"scrupulous, meticulous, careful"
到底,とうてい,(cannot) possibly
殺到,さっとう,"rush, flood"
前人未到,ぜんじんみとう,"untrodden (region, field of study, etc.), unprecedented (discovery, achievement, etc.)"
到る,いたる,"to arrive at (e.g. a decision), to reach (a stage), to attain; to lead to (a place), to get to; to come, to arrive"
到頭,とうとう,"finally, at last, reaching a head"
用意周到,よういしゅうとう,"very careful, thoroughly prepared"
寝,"ね, しん, い",sleep
寝る,ねる,"to lie down; to go to bed, to lie in bed; to sleep (lying down); to sleep (with someone, i.e. have intercourse); to lie idle"
寝室,しんしつ,bedroom
就寝,しゅうしん,"going to bed, retiring"
寝具,しんぐ,bedding
昼寝,ひるね,"nap (afternoon), siesta"
寝台,"しんだい, ねだい","bed, couch"
寝泊まり,ねとまり,staying or lodging at
寝込む,ねこむ,"to stay in bed, to sleep, to be laid up for a long time"
寝技,ねわざ,(in wrestling or judo) pinning technique; underhanded dealings
盗む,ぬすむ,to steal
強盗,ごうとう,"robber, mugger; robbery, burglary"
窃盗,せっとう,"theft, stealing, larceny"
盗塁,とうるい,theft; base stealing (baseball)
盗み,ぬすみ,stealing
盗聴,とうちょう,"interception (email), wiretap, bug"
盗難,とうなん,"theft, robbery"
盗賊,とうぞく,"thief, robber"
盗聴器,とうちょうき,"listening device, bug, wiretap"
盗掘,とうくつ,illegal digging
悩み,なやみ,"trouble(s), worry, distress, sorrows, anguish, agony, problem"
悩ます,なやます,"to afflict, to torment, to harass, to molest"
苦悩,くのう,"suffering, distress, affliction, anguish, agony, trouble"
悩む,なやむ,"to be worried, to be troubled"
伸び悩む,のびなやむ,to be sluggish (business)
悩ましい,なやましい,"seductive, carnal, enchanting; troubling, difficult, thorny, hard; anxious, uneasy"
思い悩む,おもいなやむ,to worry
煩悩,ぼんのう,"klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)"
悩みごと,なやみごと,something causing worry
悩ましげ,なやましげ,"languishing, yearning, desiring"
防御,ぼうぎょ,"defense, defence, safeguard, protection"
制御,せいぎょ,"control, governing, checking, suppression, repression, restraint, mastery, management"
御所,ごしょ,old imperial palace
御苑,ぎょえん,imperial garden
御前,"おまえ, おまい, おめえ","you (masc) (formerly honorific, now sometimes derog. term referring to an equal or inferior); presence (of a god, nobleman, etc.)"
御用邸,ごようてい,imperial villa
大御所,おおごしょ,leading or influential figure
御殿,ごてん,"palace, court"
御用,ごよう,"your order, your business, official business"
御三家,ごさんけ,three branch Tokugawa families; big (top) three
蒸気,じょうき,"steam, vapour, vapor"
蒸す,むす,"to steam, to poultice, to be sultry"
蒸し,むし,steaming
水蒸気,すいじょうき,"water vapour, water vapor, steam"
蒸発,じょうはつ,"evaporation; disappearance (of people intentionally concealing their whereabouts), unexplained disappearance"
蒸気機関,じょうききかん,steam engine
蒸し暑い,むしあつい,"humid, sultry"
蒸し返す,むしかえす,"to reheat, to steam over, to bring up again, to take up again a problem that has been dealt with"
蒸かす,ふかす,to steam
蒸ける,ふける,to become ready to eat (as a result of steaming)
荒木,あらき,"logs in bark, rough wood"
荒れる,あれる,"to be stormy, to be rough, to lose one's temper"
